FREQ;Frekvens;INSTRUMENT_TYPE;Instrumenttype;TENOR;Løpetid;UNIT_MEASURE;Måleenhet;DECIMALS;COLLECTION;Innsamlingstidspunkt;TIME_PERIOD;OBS_VALUE;CALC_METHOD;Calculation Method
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2022-01;1,5;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2022-02;1,5;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2022-03;1,55;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2022-04;1,75;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2022-05;1,75;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2022-06;1,87;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2022-07;2,25;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2022-08;2,45;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2022-09;2,89;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2022-10;3,25;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2022-11;3,47;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2022-12;3,62;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2023-01;3,75;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2023-02;3,75;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2023-03;3,82;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2023-04;4;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2023-05;4,21;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2023-06;4,39;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2023-07;4,75;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2023-08;4,86;;
M;Månedlig;KPRA;Styringsrenten;OL;Døgnlånsrente;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2023-09;5,07;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2018-10;-0,25;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2018-11;-0,25;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2018-12;-0,25;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-01;-0,25;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-02;-0,25;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-03;-0,18;;
M;Månedlig;KPRA;Styringsrenten;RR;Reserverenten;R;Rente;2;A;Gjennomsnitt av observasjoner gjennom perioden;2019-04;0;;
