r,P,payback_time
r0.018,p123000,pt13
r0.015,p124000,pt12
r0.005,p121000,pt12
r0.032,p138000,pt12
r0.055,p107000,pt22
r0.025,p121000,pt14
r0.005,p142000,pt10
r0.032,p130000,pt13
r0.016,p124000,pt13
r0.02,p141000,pt11
r0.01,p119000,pt13
r0.016,p79000,pt21
r0.032,p117000,pt15
r0.025,p146000,pt11
r0.023,p121000,pt14
r0.015,p112000,pt14
r0.013,p112000,pt14
r0.013,p139000,pt11
r0.027,p124000,pt14
r0.025,p104000,pt16
r0.01,p134000,pt11
r0.02,p116000,pt14
r0.057,p140000,pt15
r0.023,p120000,pt14
r0.027,p133000,pt12
r0.009,p118000,pt13
r0.06,p106000,pt25
r0.016,p124000,pt13
r0.03,p133000,pt13
r0.02,p106000,pt15
r0.03,p117000,pt15
r0.01,p120000,pt13
r0.025,p118000,pt14
r0.007,p104000,pt14
r0.005,p101000,pt14
r0.027,p106000,pt16
r0.01,p107000,pt14
r0.02,p125000,pt13
r0.013,p106000,pt15
r0.025,p122000,pt14
r0.02,p126000,pt13
r0.023,p119000,pt14
r0.02,p128000,pt12
r0.01,p124000,pt12
r0.007,p118000,pt13
r0.01,p104000,pt15
r0.043,p109000,pt18
r0.01,p138000,pt11
r0.025,p119000,pt14
r0.01,p109000,pt14
r0.023,p114000,pt14
r0.01,p116000,pt13
r0.013,p105000,pt15
r0.02,p137000,pt12
r0.016,p115000,pt14
r0.067,p136000,pt17
r0.032,p125000,pt14
r0.02,p122000,pt13
r0.055,p110000,pt21
r0.037,p106000,pt18
r0.023,p110000,pt15
r0.062,p112000,pt23
r0.032,p128000,pt13
r0.067,p117000,pt23
r0.06,p142000,pt15
r0.027,p130000,pt13
r0.01,p112000,pt13
r0.01,p146000,pt10
r0.02,p129000,pt12
r0.005,p121000,pt12
r0.013,p121000,pt13
r0.052,p108000,pt21
r0.02,p126000,pt13
r0.007,p123000,pt12
r0.05,p107000,pt21
r0.025,p125000,pt13
r0.025,p112000,pt15
r0.028,p109000,pt16
r0.015,p151000,pt10
r0.01,p118000,pt13
r0.01,p115000,pt13
r0.023,p115000,pt14
r0.043,p100000,pt21
r0.02,p117000,pt14
r0.055,p140000,pt14
r0.052,p105000,pt22
r0.02,p133000,pt12
r0.018,p93000,pt17
r0.02,p122000,pt13
r0.02,p96000,pt17
r0.01,p122000,pt12
r0.025,p129000,pt13
r0.055,p118000,pt19
r0.023,p113000,pt15
r0.01,p110000,pt14
r0.043,p121000,pt16
r0.023,p101000,pt17
r0.028,p131000,pt13
r0.02,p121000,pt13
r0.016,p120000,pt13
r0.013,p108000,pt14
r0.035,p132000,pt13
r0.023,p115000,pt14
r0.02,p99000,pt17
r0.03,p141000,pt12
r0.01,p106000,pt14
r0.032,p115000,pt15
r0.072,p108000,pt1000
r0.01,p128000,pt12
r0.01,p127000,pt12
r0.03,p114000,pt15
r0.021,p145000,pt11
r0.025,p125000,pt13
r0.01,p120000,pt13
r0.021,p117000,pt14
r0.016,p92000,pt17
r0.027,p122000,pt14
r0.045,p115000,pt17
r0.06,p131000,pt17
r0.021,p118000,pt14
r0.023,p115000,pt14
r0.016,p120000,pt13
r0.005,p118000,pt12
r0.025,p120000,pt14
r0.021,p109000,pt15
r0.007,p124000,pt12
r0.02,p100000,pt16
r0.043,p110000,pt18
r0.023,p124000,pt13
r0.015,p112000,pt14
r0.016,p117000,pt13
r0.027,p122000,pt14
r0.016,p127000,pt12
r0.01,p132000,pt11
r0.005,p121000,pt12
r0.007,p102000,pt14
r0.025,p133000,pt12
r0.01,p115000,pt13
r0.02,p132000,pt12
r0.01,p119000,pt13
r0.007,p127000,pt12
r0.02,p119000,pt13
r0.016,p117000,pt13
r0.013,p107000,pt14
r0.025,p124000,pt13
r0.01,p105000,pt14
r0.043,p121000,pt16
r0.023,p95000,pt18
r0.01,p109000,pt14
r0.016,p116000,pt13
r0.02,p131000,pt12
r0.027,p132000,pt13
r0.027,p133000,pt12
r0.023,p126000,pt13
r0.005,p119000,pt12
r0.025,p138000,pt12
r0.016,p119000,pt13
r0.016,p124000,pt13
r0.02,p119000,pt13
r0.015,p119000,pt13
r0.02,p106000,pt15
r0.01,p135000,pt11
r0.06,p115000,pt21
r0.013,p134000,pt11
r0.023,p116000,pt14
r0.014,p127000,pt12
r0.01,p119000,pt13
r0.013,p123000,pt12
r0.057,p131000,pt16
r0.005,p133000,pt11
r0.023,p106000,pt16
r0.027,p102000,pt17
r0.016,p117000,pt13
r0.035,p124000,pt14
r0.01,p144000,pt10
r0.028,p129000,pt13
r0.042,p107000,pt19
r0.02,p119000,pt13
r0.028,p130000,pt13
r0.01,p120000,pt13
r0.016,p124000,pt13
r0.01,p101000,pt15
r0.01,p126000,pt12
r0.02,p131000,pt12
r0.02,p135000,pt12
r0.016,p121000,pt13
r0.062,p136000,pt16
r0.01,p127000,pt12
r0.06,p133000,pt16
r0.01,p129000,pt12
r0.007,p111000,pt13
r0.055,p120000,pt18
r0.01,p134000,pt11
r0.01,p143000,pt10
r0.02,p127000,pt13
r0.018,p110000,pt14
r0.01,p129000,pt12
r0.02,p108000,pt15
r0.026,p135000,pt12
r0.01,p123000,pt12
r0.045,p144000,pt13
r0.005,p97000,pt15
r0.013,p121000,pt13
r0.062,p128000,pt18
r0.013,p121000,pt13
r0.018,p135000,pt12
r0.03,p122000,pt14
r0.005,p120000,pt12
r0.025,p101000,pt17
r0.01,p113000,pt13
r0.055,p128000,pt16
r0.023,p121000,pt14
r0.013,p128000,pt12
r0.02,p134000,pt12
r0.02,p124000,pt13
r0.05,p118000,pt18
r0.02,p117000,pt14
r0.025,p114000,pt15
r0.027,p134000,pt12
r0.027,p129000,pt13
r0.005,p126000,pt12
r0.055,p134000,pt15
r0.059,p124000,pt18
r0.02,p142000,pt11
r0.005,p118000,pt12
r0.052,p109000,pt21
r0.057,p110000,pt22
r0.018,p140000,pt11
r0.01,p140000,pt11
r0.007,p119000,pt12
r0.025,p128000,pt13
r0.045,p119000,pt17
r0.023,p126000,pt13
r0.035,p124000,pt14
r0.02,p128000,pt12
r0.025,p114000,pt15
r0.025,p121000,pt14
r0.01,p125000,pt12
r0.007,p128000,pt12
r0.027,p116000,pt15
r0.005,p109000,pt13
r0.02,p133000,pt12
r0.02,p131000,pt12
r0.018,p106000,pt15
r0.031,p116000,pt15
r0.035,p131000,pt13
r0.052,p135000,pt15
r0.02,p117000,pt14
r0.016,p128000,pt12
r0.045,p121000,pt16
r0.007,p126000,pt12
r0.01,p128000,pt12
r0.005,p124000,pt12
r0.035,p125000,pt14
r0.01,p122000,pt12
r0.01,p114000,pt13
r0.01,p137000,pt11
r0.023,p125000,pt13
r0.055,p117000,pt19
r0.027,p109000,pt16
r0.01,p110000,pt14
r0.02,p105000,pt15
r0.035,p130000,pt14
r0.05,p108000,pt20
r0.025,p130000,pt13
r0.01,p121000,pt12
r0.023,p118000,pt14
r0.01,p115000,pt13
r0.057,p150000,pt13
r0.055,p125000,pt17
r0.01,p108000,pt14
r0.01,p100000,pt15
r0.01,p126000,pt12
r0.005,p108000,pt14
r0.013,p139000,pt11
r0.03,p118000,pt15
r0.027,p133000,pt12
r0.045,p115000,pt17
r0.03,p123000,pt14
r0.042,p126000,pt15
r0.027,p124000,pt14
r0.01,p133000,pt11
r0.028,p106000,pt16
r0.01,p106000,pt14
r0.038,p132000,pt14
r0.014,p129000,pt12
r0.005,p138000,pt11
r0.007,p111000,pt13
r0.02,p113000,pt14
r0.01,p110000,pt14
r0.005,p106000,pt14
r0.01,p123000,pt12
r0.025,p117000,pt14
r0.035,p109000,pt17
r0.038,p132000,pt14
r0.042,p131000,pt14
r0.023,p136000,pt12
r0.01,p124000,pt12
r0.057,p98000,pt28
r0.028,p118000,pt14
r0.02,p137000,pt12
r0.042,p113000,pt17
r0.025,p107000,pt16
r0.02,p128000,pt12
r0.03,p121000,pt14
r0.052,p101000,pt24
r0.065,p112000,pt24
r0.027,p107000,pt16
r0.02,p116000,pt14
r0.005,p124000,pt12
r0.01,p119000,pt13
r0.027,p145000,pt11
r0.023,p103000,pt16
r0.01,p123000,pt12
r0.025,p133000,pt12
r0.01,p125000,pt12
r0.021,p120000,pt13
r0.01,p127000,pt12
r0.01,p141000,pt11
r0.03,p125000,pt14
r0.02,p142000,pt11
r0.018,p114000,pt14
r0.005,p118000,pt12
r0.005,p115000,pt13
r0.035,p137000,pt13
r0.015,p112000,pt14
r0.02,p125000,pt13
r0.045,p130000,pt15
r0.01,p122000,pt12
r0.01,p115000,pt13
r0.035,p123000,pt14
r0.01,p122000,pt12
r0.01,p122000,pt12
r0.02,p135000,pt12
r0.005,p118000,pt12
r0.025,p122000,pt14
r0.005,p134000,pt11
r0.03,p116000,pt15
r0.032,p119000,pt15
r0.005,p130000,pt11
r0.06,p128000,pt17
r0.01,p117000,pt13
r0.01,p120000,pt13
r0.01,p114000,pt13
r0.02,p141000,pt11
r0.023,p114000,pt14
r0.023,p138000,pt12
r0.062,p115000,pt22
r0.01,p121000,pt12
r0.067,p128000,pt19
r0.025,p125000,pt13
r0.02,p117000,pt14
r0.023,p109000,pt15
r0.02,p107000,pt15
r0.02,p96000,pt17
r0.013,p119000,pt13
r0.02,p113000,pt14
r0.031,p118000,pt15
r0.005,p108000,pt14
r0.01,p132000,pt11
r0.01,p128000,pt12
r0.02,p109000,pt15
r0.027,p119000,pt14
r0.013,p118000,pt13
r0.02,p129000,pt12
r0.013,p141000,pt11
r0.013,p107000,pt14
r0.021,p121000,pt13
r0.016,p128000,pt12
r0.013,p140000,pt11
r0.02,p111000,pt15
r0.01,p124000,pt12
r0.027,p135000,pt12
r0.02,p131000,pt12
r0.028,p132000,pt13
r0.013,p92000,pt17
r0.01,p105000,pt14
r0.025,p137000,pt12
r0.015,p114000,pt14
r0.02,p119000,pt13
r0.007,p103000,pt14
r0.02,p122000,pt13
r0.023,p121000,pt14
r0.02,p102000,pt16
r0.027,p107000,pt16
r0.005,p133000,pt11
r0.062,p135000,pt16
r0.015,p120000,pt13
r0.01,p115000,pt13
r0.021,p112000,pt15
r0.015,p108000,pt14
r0.013,p99000,pt16
r0.03,p142000,pt12
r0.033,p115000,pt15
r0.01,p136000,pt11
r0.025,p117000,pt14
r0.032,p136000,pt13
r0.025,p103000,pt17
r0.01,p130000,pt12
r0.025,p123000,pt13
r0.016,p117000,pt13
r0.01,p119000,pt13
r0.055,p142000,pt14
r0.023,p105000,pt16
r0.023,p129000,pt13
r0.023,p130000,pt12
r0.01,p112000,pt13
r0.028,p115000,pt15
r0.038,p111000,pt17
r0.02,p136000,pt12
r0.01,p108000,pt14
r0.013,p122000,pt13
r0.023,p119000,pt14
r0.016,p109000,pt14
r0.025,p119000,pt14
r0.062,p116000,pt21
r0.023,p137000,pt12
r0.015,p123000,pt13
r0.025,p114000,pt15
r0.01,p111000,pt14
r0.052,p113000,pt19
r0.014,p115000,pt13
r0.05,p106000,pt21
r0.02,p132000,pt12
r0.023,p115000,pt14
r0.052,p121000,pt17
r0.025,p120000,pt14
r0.018,p120000,pt13
r0.025,p111000,pt15
r0.025,p116000,pt14
r0.021,p114000,pt14
r0.027,p148000,pt11
r0.025,p113000,pt15
r0.02,p101000,pt16
r0.01,p119000,pt13
r0.023,p118000,pt14
r0.016,p123000,pt13
r0.042,p111000,pt18
r0.005,p112000,pt13
r0.016,p117000,pt13
r0.025,p116000,pt14
r0.05,p101000,pt23
r0.023,p124000,pt13
r0.025,p120000,pt14
r0.016,p120000,pt13
r0.013,p124000,pt12
r0.02,p106000,pt15
r0.02,p139000,pt11
r0.01,p138000,pt11
r0.013,p96000,pt16
r0.015,p133000,pt12
r0.01,p113000,pt13
r0.062,p122000,pt19
r0.06,p119000,pt20
r0.02,p112000,pt14
r0.037,p111000,pt17
r0.02,p117000,pt14
r0.027,p119000,pt14
r0.023,p116000,pt14
r0.025,p97000,pt18
r0.01,p131000,pt11
r0.025,p132000,pt12
r0.01,p118000,pt13
r0.055,p132000,pt16
r0.01,p119000,pt13
r0.015,p109000,pt14
r0.06,p122000,pt19
r0.025,p121000,pt14
r0.01,p108000,pt14
r0.059,p123000,pt18
r0.016,p133000,pt12
r0.01,p128000,pt12
r0.015,p148000,pt10
r0.02,p131000,pt12
r0.01,p119000,pt13
r0.043,p124000,pt15
r0.023,p141000,pt11
r0.021,p123000,pt13
r0.045,p121000,pt16
r0.032,p122000,pt14
r0.025,p133000,pt12
r0.01,p120000,pt13
r0.025,p124000,pt13
r0.027,p120000,pt14
r0.01,p137000,pt11
r0.01,p134000,pt11
r0.045,p133000,pt14
r0.02,p121000,pt13
r0.02,p100000,pt16
r0.035,p110000,pt17
r0.032,p123000,pt14
r0.02,p123000,pt13
r0.02,p110000,pt15
r0.015,p131000,pt12
r0.031,p125000,pt14
r0.016,p133000,pt12
r0.02,p122000,pt13
r0.027,p136000,pt12
r0.02,p112000,pt14
r0.02,p109000,pt15
r0.031,p114000,pt15
r0.013,p125000,pt12
r0.027,p121000,pt14
r0.067,p135000,pt17
r0.02,p116000,pt14
r0.025,p144000,pt11
r0.033,p119000,pt15
r0.028,p135000,pt12
r0.025,p131000,pt13
r0.023,p125000,pt13
r0.025,p103000,pt17
r0.005,p115000,pt13
r0.02,p120000,pt13
r0.025,p120000,pt14
r0.028,p95000,pt19
r0.01,p141000,pt11
r0.005,p102000,pt14
r0.007,p130000,pt11
r0.02,p123000,pt13
r0.025,p144000,pt11
r0.01,p128000,pt12
r0.023,p118000,pt14
r0.023,p133000,pt12
r0.045,p125000,pt15
r0.043,p134000,pt14
r0.01,p96000,pt16
r0.072,p119000,pt25
r0.018,p108000,pt15
r0.02,p129000,pt12
r0.03,p112000,pt16
r0.025,p111000,pt15
r0.016,p105000,pt15
r0.023,p121000,pt14
r0.01,p109000,pt14
r0.02,p107000,pt15
r0.01,p120000,pt13
r0.023,p111000,pt15
r0.025,p109000,pt15
r0.055,p135000,pt15
r0.023,p128000,pt13
r0.03,p127000,pt13
r0.02,p94000,pt18
r0.055,p120000,pt18
r0.013,p99000,pt16
r0.005,p134000,pt11
r0.016,p108000,pt15
r0.023,p120000,pt14
r0.023,p109000,pt15
r0.018,p140000,pt11
r0.01,p129000,pt12
r0.023,p118000,pt14
r0.028,p105000,pt17
r0.062,p121000,pt20
r0.035,p123000,pt14
r0.005,p120000,pt12
r0.025,p148000,pt11
r0.01,p133000,pt11
r0.023,p158000,pt10
r0.045,p120000,pt16
r0.025,p112000,pt15
r0.052,p113000,pt19
r0.01,p134000,pt11
r0.023,p109000,pt15
r0.02,p142000,pt11
r0.025,p109000,pt15
r0.042,p142000,pt13
r0.02,p139000,pt11
r0.072,p109000,pt1000
r0.01,p127000,pt12
r0.005,p140000,pt10
r0.005,p122000,pt12
r0.025,p117000,pt14
r0.025,p132000,pt12
r0.01,p152000,pt10
r0.025,p150000,pt11
r0.041,p112000,pt17
r0.025,p110000,pt15
r0.028,p130000,pt13
r0.01,p144000,pt10
r0.043,p129000,pt15
r0.02,p113000,pt14
r0.016,p117000,pt13
r0.028,p138000,pt12
r0.021,p115000,pt14
r0.027,p127000,pt13
r0.023,p144000,pt11
r0.015,p133000,pt12
r0.005,p100000,pt15
r0.02,p119000,pt13
r0.05,p131000,pt15
r0.01,p121000,pt12
r0.025,p109000,pt15
r0.025,p116000,pt14
r0.02,p132000,pt12
r0.01,p84000,pt18
r0.023,p120000,pt14
r0.048,p110000,pt19
r0.01,p98000,pt15
r0.01,p148000,pt10
r0.023,p107000,pt16
r0.02,p135000,pt12
r0.027,p135000,pt12
r0.027,p140000,pt12
r0.013,p121000,pt13
r0.01,p105000,pt14
r0.01,p119000,pt13
r0.02,p126000,pt13
r0.02,p120000,pt13
r0.01,p112000,pt13
r0.005,p126000,pt12
r0.041,p141000,pt13
r0.045,p137000,pt14
r0.015,p131000,pt12
r0.016,p111000,pt14
r0.021,p103000,pt16
r0.025,p126000,pt13
r0.057,p116000,pt20
r0.02,p120000,pt13
r0.052,p117000,pt18
r0.013,p114000,pt13
r0.023,p106000,pt16
r0.027,p118000,pt14
r0.032,p120000,pt15
r0.013,p123000,pt12
r0.005,p108000,pt14
r0.028,p109000,pt16
r0.021,p124000,pt13
r0.011,p117000,pt13
r0.023,p101000,pt17
r0.043,p125000,pt15
r0.02,p127000,pt13
r0.015,p115000,pt14
r0.025,p96000,pt18
r0.02,p120000,pt13
r0.01,p112000,pt13
r0.016,p137000,pt11
r0.005,p116000,pt13
r0.005,p132000,pt11
r0.01,p131000,pt11
r0.015,p97000,pt16
r0.01,p135000,pt11
r0.013,p134000,pt11
r0.025,p125000,pt13
r0.033,p112000,pt16
r0.072,p102000,pt1000
r0.023,p112000,pt15
r0.01,p117000,pt13
r0.02,p158000,pt10
r0.02,p127000,pt13
r0.031,p115000,pt15
r0.02,p120000,pt13
r0.025,p98000,pt18
r0.02,p127000,pt13
r0.02,p111000,pt15
r0.027,p127000,pt13
r0.02,p123000,pt13
r0.027,p114000,pt15
r0.062,p108000,pt25
r0.005,p120000,pt12
r0.02,p107000,pt15
r0.005,p129000,pt11
r0.025,p136000,pt12
r0.045,p125000,pt15
r0.067,p118000,pt23
r0.06,p90000,pt1000
r0.02,p100000,pt16
r0.011,p119000,pt13
r0.023,p132000,pt12
r0.03,p118000,pt15
r0.005,p131000,pt11
r0.01,p110000,pt14
r0.013,p103000,pt15
r0.023,p116000,pt14
r0.048,p127000,pt16
r0.01,p112000,pt13
r0.01,p115000,pt13
r0.025,p128000,pt13
r0.01,p120000,pt13
r0.01,p129000,pt12
r0.023,p106000,pt16
r0.01,p98000,pt15
r0.01,p130000,pt12
r0.007,p127000,pt12
r0.018,p122000,pt13
r0.02,p116000,pt14
r0.023,p97000,pt17
r0.038,p104000,pt19
r0.016,p119000,pt13
r0.02,p108000,pt15
r0.015,p118000,pt13
r0.023,p120000,pt14
r0.021,p105000,pt16
r0.02,p126000,pt13
r0.005,p109000,pt13
r0.067,p103000,pt1000
r0.01,p100000,pt15
r0.007,p110000,pt13
r0.021,p122000,pt13
r0.016,p136000,pt11
r0.038,p113000,pt17
r0.01,p123000,pt12
r0.015,p113000,pt14
r0.02,p109000,pt15
r0.02,p137000,pt12
r0.025,p124000,pt13
r0.02,p115000,pt14
r0.033,p125000,pt14
r0.007,p118000,pt13
r0.02,p127000,pt13
r0.065,p122000,pt20
r0.025,p114000,pt15
r0.01,p136000,pt11
r0.02,p117000,pt14
r0.01,p117000,pt13
r0.045,p111000,pt18
r0.025,p121000,pt14
r0.005,p114000,pt13
r0.055,p129000,pt16
r0.027,p127000,pt13
r0.057,p114000,pt20
r0.02,p120000,pt13
r0.014,p125000,pt12
r0.015,p108000,pt14
r0.023,p110000,pt15
r0.023,p121000,pt14
r0.018,p107000,pt15
r0.035,p133000,pt13
r0.02,p108000,pt15
r0.02,p118000,pt14
r0.021,p115000,pt14
r0.02,p110000,pt15
r0.01,p104000,pt15
r0.028,p121000,pt14
r0.005,p113000,pt13
r0.005,p118000,pt12
r0.01,p115000,pt13
r0.05,p154000,pt12
r0.023,p123000,pt13
r0.016,p123000,pt13
r0.02,p125000,pt13
r0.025,p115000,pt15
r0.025,p119000,pt14
r0.01,p118000,pt13
r0.045,p104000,pt20
r0.016,p121000,pt13
r0.005,p123000,pt12
r0.005,p109000,pt13
r0.02,p136000,pt12
r0.009,p103000,pt15
r0.023,p106000,pt16
r0.01,p114000,pt13
r0.01,p126000,pt12
r0.005,p109000,pt13
r0.02,p127000,pt13
r0.01,p134000,pt11
r0.016,p121000,pt13
r0.013,p102000,pt15
r0.025,p110000,pt15
r0.013,p117000,pt13
r0.032,p121000,pt14
r0.032,p110000,pt16
r0.025,p104000,pt16
r0.013,p123000,pt12
r0.005,p113000,pt13
r0.02,p145000,pt11
r0.06,p120000,pt19
r0.01,p136000,pt11
r0.01,p127000,pt12
r0.005,p125000,pt12
r0.02,p106000,pt15
r0.03,p96000,pt19
r0.01,p130000,pt12
r0.031,p114000,pt15
r0.01,p119000,pt13
r0.023,p105000,pt16
r0.02,p115000,pt14
r0.025,p121000,pt14
r0.01,p133000,pt11
r0.016,p116000,pt13
r0.01,p142000,pt11
r0.042,p108000,pt18
r0.035,p125000,pt14
r0.005,p126000,pt12
r0.052,p102000,pt23
r0.02,p114000,pt14
r0.015,p108000,pt14
r0.01,p129000,pt12
r0.027,p125000,pt13
r0.023,p118000,pt14
r0.027,p126000,pt13
r0.01,p101000,pt15
r0.02,p111000,pt15
r0.01,p126000,pt12
r0.01,p126000,pt12
r0.023,p126000,pt13
r0.038,p112000,pt17
r0.027,p131000,pt13
r0.035,p100000,pt19
r0.057,p117000,pt20
r0.023,p117000,pt14
r0.02,p116000,pt14
r0.01,p115000,pt13
r0.018,p121000,pt13
r0.02,p118000,pt14
r0.01,p121000,pt12
r0.01,p106000,pt14
r0.02,p123000,pt13
r0.042,p119000,pt16
r0.021,p128000,pt13
r0.023,p114000,pt14
r0.032,p123000,pt14
r0.01,p131000,pt11
r0.02,p133000,pt12
r0.025,p121000,pt14
r0.038,p129000,pt14
r0.013,p125000,pt12
r0.052,p114000,pt19
r0.025,p143000,pt11
r0.03,p124000,pt14
r0.013,p123000,pt12
r0.06,p120000,pt19
r0.062,p121000,pt20
r0.025,p117000,pt14
r0.01,p101000,pt15
r0.01,p98000,pt15
r0.005,p137000,pt11
r0.062,p102000,pt29
r0.01,p131000,pt11
r0.057,p112000,pt21
r0.01,p107000,pt14
r0.02,p136000,pt12
r0.02,p110000,pt15
r0.025,p101000,pt17
r0.02,p106000,pt15
r0.005,p110000,pt13
r0.025,p129000,pt13
r0.016,p129000,pt12
r0.01,p103000,pt15
r0.025,p126000,pt13
r0.005,p117000,pt12
r0.027,p124000,pt14
r0.041,p126000,pt15
r0.021,p112000,pt15
r0.06,p133000,pt16
r0.01,p109000,pt14
r0.055,p112000,pt21
r0.027,p125000,pt13
r0.02,p126000,pt13
r0.03,p127000,pt13
r0.027,p122000,pt14
r0.018,p124000,pt13
r0.013,p118000,pt13
r0.005,p109000,pt13
r0.02,p120000,pt13
r0.027,p127000,pt13
r0.02,p142000,pt11
r0.01,p108000,pt14
r0.021,p122000,pt13
r0.02,p122000,pt13
r0.042,p92000,pt24
r0.023,p115000,pt14
r0.02,p134000,pt12
r0.005,p117000,pt12
r0.042,p110000,pt18
r0.025,p112000,pt15
r0.025,p90000,pt19
r0.01,p108000,pt14
r0.052,p126000,pt16
r0.01,p129000,pt12
r0.025,p124000,pt13
r0.023,p115000,pt14
r0.013,p130000,pt12
r0.042,p113000,pt17
r0.042,p116000,pt17
r0.032,p131000,pt13
r0.027,p98000,pt18
r0.006,p117000,pt13
r0.02,p96000,pt17
r0.025,p103000,pt17
r0.01,p110000,pt14
r0.042,p130000,pt14
r0.03,p132000,pt13
r0.02,p121000,pt13
r0.016,p108000,pt15
r0.02,p135000,pt12
r0.02,p111000,pt15
r0.032,p110000,pt16
r0.025,p132000,pt12
r0.02,p97000,pt17
r0.02,p105000,pt15
r0.027,p124000,pt14
r0.057,p103000,pt25
r0.01,p131000,pt11
r0.02,p126000,pt13
r0.01,p124000,pt12
r0.027,p131000,pt13
r0.01,p135000,pt11
r0.023,p82000,pt21
r0.02,p95000,pt17
r0.025,p110000,pt15
r0.025,p130000,pt13
r0.02,p115000,pt14
r0.018,p107000,pt15
r0.014,p110000,pt14
r0.057,p130000,pt16
r0.005,p103000,pt14
r0.023,p120000,pt14
r0.02,p124000,pt13
r0.042,p103000,pt20
r0.02,p116000,pt14
r0.023,p109000,pt15
r0.031,p110000,pt16
r0.01,p120000,pt13
r0.032,p124000,pt14
r0.032,p119000,pt15
r0.025,p145000,pt11
r0.016,p125000,pt12
r0.01,p103000,pt15
r0.01,p125000,pt12
r0.01,p118000,pt13
r0.013,p136000,pt11
r0.01,p109000,pt14
r0.062,p105000,pt27
r0.01,p113000,pt13
r0.02,p120000,pt13
r0.005,p101000,pt14
r0.038,p135000,pt13
r0.007,p124000,pt12
r0.02,p152000,pt10
r0.03,p109000,pt16
r0.02,p132000,pt12
r0.023,p113000,pt15
r0.02,p110000,pt15
r0.06,p111000,pt23
r0.015,p127000,pt12
r0.045,p107000,pt19
r0.032,p131000,pt13
r0.013,p129000,pt12
r0.005,p115000,pt13
r0.014,p105000,pt15
r0.026,p120000,pt14
r0.06,p94000,pt1000
r0.023,p110000,pt15
r0.01,p120000,pt13
r0.01,p110000,pt14
r0.016,p101000,pt16
r0.01,p139000,pt11
r0.013,p115000,pt13
r0.03,p106000,pt17
r0.067,p112000,pt26
r0.06,p110000,pt23
r0.013,p120000,pt13
r0.043,p130000,pt14
r0.01,p121000,pt12
r0.02,p111000,pt15
r0.013,p113000,pt14
r0.05,p128000,pt16
r0.02,p122000,pt13
r0.05,p95000,pt26
r0.062,p110000,pt24
r0.042,p113000,pt17
r0.037,p125000,pt14
r0.02,p123000,pt13
r0.02,p127000,pt13
r0.06,p112000,pt22
r0.037,p149000,pt12
r0.027,p118000,pt14
r0.023,p120000,pt14
r0.048,p117000,pt18
r0.057,p119000,pt19
r0.027,p141000,pt12
r0.023,p135000,pt12
r0.01,p135000,pt11
r0.06,p133000,pt16
r0.03,p143000,pt12
r0.02,p107000,pt15
r0.023,p127000,pt13
r0.06,p125000,pt18
r0.01,p124000,pt12
r0.025,p110000,pt15
r0.02,p134000,pt12
r0.032,p126000,pt14
r0.025,p99000,pt17
r0.016,p119000,pt13
r0.045,p126000,pt15
r0.018,p128000,pt12
r0.028,p136000,pt12
r0.015,p125000,pt12
r0.033,p122000,pt14
r0.023,p113000,pt15
r0.02,p133000,pt12
r0.023,p98000,pt17
r0.01,p122000,pt12
r0.023,p106000,pt16
r0.032,p129000,pt13
r0.028,p101000,pt17
r0.023,p137000,pt12
r0.023,p112000,pt15
r0.03,p120000,pt14
r0.02,p118000,pt14
r0.02,p131000,pt12
r0.023,p132000,pt12
r0.013,p97000,pt16
r0.016,p114000,pt14
r0.035,p118000,pt15
r0.005,p128000,pt11
r0.005,p137000,pt11
r0.013,p110000,pt14
r0.027,p91000,pt20
r0.015,p130000,pt12
r0.031,p141000,pt12
r0.02,p123000,pt13
r0.005,p133000,pt11
r0.01,p110000,pt14
r0.025,p101000,pt17
r0.015,p117000,pt13
r0.016,p109000,pt14
r0.016,p105000,pt15
r0.052,p137000,pt14
r0.007,p128000,pt12
r0.013,p119000,pt13
r0.02,p133000,pt12
r0.01,p119000,pt13
r0.021,p107000,pt15
r0.025,p120000,pt14
r0.01,p109000,pt14
r0.006,p96000,pt15
r0.023,p99000,pt17
r0.025,p111000,pt15
r0.01,p118000,pt13
r0.02,p116000,pt14
r0.013,p120000,pt13
r0.01,p114000,pt13
r0.025,p131000,pt13
r0.026,p127000,pt13
r0.023,p102000,pt16
r0.03,p112000,pt16
r0.013,p125000,pt12
r0.025,p128000,pt13
r0.005,p114000,pt13
r0.013,p113000,pt14
r0.02,p114000,pt14
r0.02,p114000,pt14
r0.06,p122000,pt19
r0.01,p122000,pt12
r0.03,p112000,pt16
r0.042,p131000,pt14
r0.057,p129000,pt17
r0.005,p119000,pt12
r0.023,p141000,pt11
r0.016,p130000,pt12
r0.013,p117000,pt13
r0.014,p125000,pt12
r0.02,p131000,pt12
r0.02,p138000,pt11
r0.023,p130000,pt12
r0.055,p112000,pt21
r0.025,p118000,pt14
r0.062,p116000,pt21
r0.023,p126000,pt13
r0.057,p108000,pt23
r0.021,p119000,pt14
r0.01,p100000,pt15
r0.025,p115000,pt15
r0.032,p117000,pt15
r0.01,p119000,pt13
r0.02,p125000,pt13
r0.06,p102000,pt27
r0.016,p115000,pt14
r0.027,p113000,pt15
r0.057,p112000,pt21
r0.02,p124000,pt13
r0.025,p113000,pt15
r0.057,p98000,pt28
r0.06,p110000,pt23
