
Dato;Månedsendring (prosent)
2019M10;0,2
2019M11;0,3
2019M12;-0,3
2020M01;0,0
2020M02;-0,1
2020M03;0,0
2020M04;0,4
2020M05;0,2
2020M06;0,2
2020M07;0,7
2020M08;-0,4
2020M09;0,4
2020M10;0,3
2020M11;-0,7
2020M12;0,4
2021M01;1,1
2021M02;0,7
2021M03;-0,3
2021M04;0,3
2021M05;-0,1
2021M06;0,3
2021M07;0,9
2021M08;0,0
2021M09;1,0
2021M10;-0,3
2021M11;0,8
2021M12;0,7
2022M01;-0,9
2022M02;1,1
2022M03;0,6
2022M04;1,2
2022M05;0,2
2022M06;0,9
2022M07;1,3
2022M08;-0,2
2022M09;1,4
2022M10;0,3
2022M11;-0,2
2022M12;0,1
2023M01;0,2
2023M02;0,4
2023M03;0,8
2023M04;1,1
2023M05;0,5
2023M06;0,6
2023M07;0,4
2023M08;-0,8
2023M09;-0,1
